selector,color,darkmode,stylesheet,line
.btn-outline-brown,#795548,#42312b,mdb.min.css,1056
".btn-outline-brown.active, .btn-outline-brown:active, .btn-outline-brown:active:focus, .btn-outline-brown:focus, .btn-outline-brown:hover",#795548,#42312b,mdb.min.css,1057
.btn-grey,#FFFFFF,#1c1c1c,mdb.min.css,1059
.btn-outline-grey,#616161,#1E1E1E,mdb.min.css,1065
".btn-outline-grey.active, .btn-outline-grey:active, .btn-outline-grey:active:focus, .btn-outline-grey:focus, .btn-outline-grey:hover",#616161,#1E1E1E,mdb.min.css,1066
.btn-blue-grey,#FFFFFF,#1c1c1c,mdb.min.css,1068
.btn-outline-blue-grey,#78909C,#3A4B51,mdb.min.css,1074
".btn-outline-blue-grey.active, .btn-outline-blue-grey:active, .btn-outline-blue-grey:active:focus, .btn-outline-blue-grey:focus, .btn-outline-blue-grey:hover",#78909C,#3A4B51,mdb.min.css,1075
.btn-dark,#FFFFFF,#1c1c1c,mdb.min.css,1077
.btn-outline-dark,#212121,#151515,mdb.min.css,1083
".btn-outline-dark.active, .btn-outline-dark:active, .btn-outline-dark:active:focus, .btn-outline-dark:focus, .btn-outline-dark:hover",#212121,#151515,mdb.min.css,1084
.btn-light,#000000,#1E1E1E,mdb.min.css,1086
.btn-outline-light,#E0E0E0,#383838,mdb.min.css,1092
".btn-outline-light.active, .btn-outline-light:active, .btn-outline-light:active:focus, .btn-outline-light:focus, .btn-outline-light:hover",#E0E0E0,#383838,mdb.min.css,1093
.btn-white,#000000,#1E1E1E,mdb.min.css,1095
.btn-outline-white,#FFFFFF,#1c1c1c,mdb.min.css,1100
".btn-outline-white.active, .btn-outline-white:active, .btn-outline-white:active:focus, .btn-outline-white:focus, .btn-outline-white:hover",#FFFFFF,#1c1c1c,mdb.min.css,1101
.btn-black,#FFFFFF,#1c1c1c,mdb.min.css,1103
.btn-outline-black,#000000,#1E1E1E,mdb.min.css,1109
".btn-outline-black.active, .btn-outline-black:active, .btn-outline-black:active:focus, .btn-outline-black:focus, .btn-outline-black:hover",#000000,#1E1E1E,mdb.min.css,1110
.btn-gold,#FFFFFF,#1c1c1c,mdb.min.css,1112
.card .card-text,#747373,#3f3f3f,mdb.min.css,1125
.card .card-footer.links-light a,#757575,#202020,mdb.min.css,1126
.card .card-footer.links-light a:hover,#D50000,#9B0000,mdb.min.css,1127
".dropdown .dropdown-menu .dropdown-item:active, .dropdown .dropdown-menu .dropdown-item:focus, .dropdown .dropdown-menu .dropdown-item:hover",#1D1E1F,#dcdcde,mdb.min.css,1129
".navbar.navbar-dark .navbar-nav .nav-item .nav-link.disabled, .navbar.navbar-dark .navbar-nav .nav-item .nav-link.disabled:hover",#FFFFFF80,#18191B80,mdb.min.css,1138
".navbar.navbar-light .navbar-nav .nav-item .nav-link.disabled, .navbar.navbar-light .navbar-nav .nav-item .nav-link.disabled:hover",#00000080,#C8C8C8,mdb.min.css,1139
.navbar .dropdown-menu a,#000000,#1E1E1E,mdb.min.css,1145
.navbar .dropdown-menu a:hover,#FFFFFF,#1c1c1c,mdb.min.css,1146
".navbar.navbar-light .breadcrumb .nav-item .nav-link, .navbar.navbar-light .navbar-nav .nav-item .nav-link",#000000,#1E1E1E,mdb.min.css,1149
".navbar.navbar-light .breadcrumb .nav-item .nav-link:hover, .navbar.navbar-light .navbar-nav .nav-item .nav-link:hover",#000000BF,#FFFFFF90,mdb.min.css,1150
".navbar.navbar-light .breadcrumb .nav-item.active > .nav-link:hover, .navbar.navbar-light .navbar-nav .nav-item.active > .nav-link:hover, .navbar.navbar-light .navbar-toggler, .navbar.navbar-light form .form-control",#000000,#1E1E1E,mdb.min.css,1151
.navbar.navbar-light form .form-control::-webkit-input-placeholder,#000000,#1E1E1E,mdb.min.css,1155
.navbar.navbar-light form .form-control::placeholder,#000000,#1E1E1E,mdb.min.css,1156
".navbar.navbar-dark .breadcrumb .nav-item .nav-link, .navbar.navbar-dark .navbar-nav .nav-item .nav-link",#FFFFFF,#1c1c1c,mdb.min.css,1158
".navbar.navbar-dark .breadcrumb .nav-item .nav-link:hover, .navbar.navbar-dark .navbar-nav .nav-item .nav-link:hover",#FFFFFFBF,#1E1E1E,mdb.min.css,1159
".badge, .navbar.navbar-dark .breadcrumb .nav-item.active > .nav-link:hover, .navbar.navbar-dark .navbar-nav .nav-item.active > .nav-link:hover, .navbar.navbar-dark .navbar-toggler, .navbar.navbar-dark form .form-control, .pagination .active .page-link:hover",#FFFFFF,#1c1c1c,mdb.min.css,1160
.navbar.navbar-dark form .form-control::-webkit-input-placeholder,#FFFFFF,#1c1c1c,mdb.min.css,1164
.navbar.navbar-dark form .form-control::placeholder,#FFFFFF,#1c1c1c,mdb.min.css,1165
.badge-warning,#FFFFFF,#1c1c1c,mdb.min.css,1184
.modal-dialog .btn .fa,#FFFFFF,#1c1c1c,mdb.min.css,1232
.modal-dialog.cascading-modal .close,#FFFFFF,#1c1c1c,mdb.min.css,1235
".modal-dialog.cascading-modal .modal-body, .modal-dialog.cascading-modal .modal-footer",#616161,#1E1E1E,mdb.min.css,1247
.modal-dialog.modal-notify .heading,#FFFFFF,#1c1c1c,mdb.min.css,1252
.modal-dialog.modal-notify .modal-body,#616161,#1E1E1E,mdb.min.css,1255
.modal-dialog.modal-notify.modal-info .fa,#5394FF,#3B6CD6,mdb.min.css,1258
.modal-dialog.modal-notify.modal-info .btn-primary-modal,#FFFFFF,#1c1c1c,mdb.min.css,1259
.modal-dialog.modal-notify.modal-info .btn-outline-secondary-modal,#5394FF,#3B6CD6,mdb.min.css,1265
".modal-dialog.modal-notify.modal-info .btn-outline-secondary-modal.active, .modal-dialog.modal-notify.modal-info .btn-outline-secondary-modal:active, .modal-dialog.modal-notify.modal-info .btn-outline-secondary-modal:active:focus, .modal-dialog.modal-notify.modal-info .btn-outline-secondary-modal:focus, .modal-dialog.modal-notify.modal-info .btn-outline-secondary-modal:hover",#5394FF,#3B6CD6,mdb.min.css,1266
.modal-dialog.modal-notify.modal-warning .fa,#FF8E38,#B65D29,mdb.min.css,1269
.modal-dialog.modal-notify.modal-warning .btn-primary-modal,#FFFFFF,#1c1c1c,mdb.min.css,1270
.modal-dialog.modal-notify.modal-warning .btn-outline-secondary-modal,#FF8E38,#B65D29,mdb.min.css,1276
".modal-dialog.modal-notify.modal-warning .btn-outline-secondary-modal.active, .modal-dialog.modal-notify.modal-warning .btn-outline-secondary-modal:active, .modal-dialog.modal-notify.modal-warning .btn-outline-secondary-modal:active:focus, .modal-dialog.modal-notify.modal-warning .btn-outline-secondary-modal:focus, .modal-dialog.modal-notify.modal-warning .btn-outline-secondary-modal:hover",#FF8E38,#B65D29,mdb.min.css,1277
.modal-dialog.modal-notify.modal-success .fa,#01D36B,#1F8B4C,mdb.min.css,1280
.modal-dialog.modal-notify.modal-success .btn-primary-modal,#FFFFFF,#1c1c1c,mdb.min.css,1281
.modal-dialog.modal-notify.modal-success .btn-outline-secondary-modal,#01D36B,#1F8B4C,mdb.min.css,1287
".modal-dialog.modal-notify.modal-success .btn-outline-secondary-modal.active, .modal-dialog.modal-notify.modal-success .btn-outline-secondary-modal:active, .modal-dialog.modal-notify.modal-success .btn-outline-secondary-modal:active:focus, .modal-dialog.modal-notify.modal-success .btn-outline-secondary-modal:focus, .modal-dialog.modal-notify.modal-success .btn-outline-secondary-modal:hover",#01D36B,#1F8B4C,mdb.min.css,1288
.modal-dialog.modal-notify.modal-danger .fa,#FF4B4B,#B13535,mdb.min.css,1291
.modal-dialog.modal-notify.modal-danger .btn-primary-modal,#FFFFFF,#1c1c1c,mdb.min.css,1292
.modal-dialog.modal-notify.modal-danger .btn-outline-secondary-modal,#FF4B4B,#B13535,mdb.min.css,1298
".modal-dialog.modal-notify.modal-danger .btn-outline-secondary-modal.active, .modal-dialog.modal-notify.modal-danger .btn-outline-secondary-modal:active, .modal-dialog.modal-notify.modal-danger .btn-outline-secondary-modal:active:focus, .modal-dialog.modal-notify.modal-danger .btn-outline-secondary-modal:focus, .modal-dialog.modal-notify.modal-danger .btn-outline-secondary-modal:hover",#FF4B4B,#B13535,mdb.min.css,1299
.accordion .card .card-body,#626262,#343434,mdb.min.css,1321
"input[type=""date""]:disabled, input[type=""date""][readonly=""readonly""], input[type=""datetime-local""]:disabled, input[type=""datetime-local""][readonly=""readonly""], input[type=""email""]:disabled, input[type=""email""][readonly=""readonly""], input[type=""number""]:disabled, input[type=""number""][readonly=""readonly""], input[type=""password""]:disabled, input[type=""password""][readonly=""readonly""], input[type=""search-md""]:disabled, input[type=""search-md""][readonly=""readonly""], input[type=""search""]:disabled, input[type=""search""][readonly=""readonly""], input[type=""tel""]:disabled, input[type=""tel""][readonly=""readonly""], input[type=""text""]:disabled, input[type=""text""][readonly=""readonly""], input[type=""time""]:disabled, input[type=""time""][readonly=""readonly""], input[type=""url""]:disabled, input[type=""url""][readonly=""readonly""], textarea.md-textarea:disabled, textarea.md-textarea[readonly=""readonly""]",#00000075,#121212,mdb.min.css,1420
"input[type=""date""]:disabled + label, input[type=""date""][readonly=""readonly""] + label, input[type=""datetime-local""]:disabled + label, input[type=""datetime-local""][readonly=""readonly""] + label, input[type=""email""]:disabled + label, input[type=""email""][readonly=""readonly""] + label, input[type=""number""]:disabled + label, input[type=""number""][readonly=""readonly""] + label, input[type=""password""]:disabled + label, input[type=""password""][readonly=""readonly""] + label, input[type=""search-md""]:disabled + label, input[type=""search-md""][readonly=""readonly""] + label, input[type=""search""]:disabled + label, input[type=""search""][readonly=""readonly""] + label, input[type=""tel""]:disabled + label, input[type=""tel""][readonly=""readonly""] + label, input[type=""text""]:disabled + label, input[type=""text""][readonly=""readonly""] + label, input[type=""time""]:disabled + label, input[type=""time""][readonly=""readonly""] + label, input[type=""url""]:disabled + label, input[type=""url""][readonly=""readonly""] + label, textarea.md-textarea:disabled + label, textarea.md-textarea[readonly=""readonly""] + label",#00000075,#121212,mdb.min.css,1421
"input[type=""date""]:focus:not([readonly]) + label, input[type=""datetime-local""]:focus:not([readonly]) + label, input[type=""email""]:focus:not([readonly]) + label, input[type=""number""]:focus:not([readonly]) + label, input[type=""password""]:focus:not([readonly]) + label, input[type=""search-md""]:focus:not([readonly]) + label, input[type=""search""]:focus:not([readonly]) + label, input[type=""tel""]:focus:not([readonly]) + label, input[type=""text""]:focus:not([readonly]) + label, input[type=""time""]:focus:not([readonly]) + label, input[type=""url""]:focus:not([readonly]) + label, textarea.md-textarea:focus:not([readonly]) + label",#4285F4,#2155c3,mdb.min.css,1423
"input[type=""date""].valid + label::after, input[type=""date""]:focus.valid + label::after, input[type=""datetime-local""].valid + label::after, input[type=""datetime-local""]:focus.valid + label::after, input[type=""email""].valid + label::after, input[type=""email""]:focus.valid + label::after, input[type=""number""].valid + label::after, input[type=""number""]:focus.valid + label::after, input[type=""password""].valid + label::after, input[type=""password""]:focus.valid + label::after, input[type=""search-md""].valid + label::after, input[type=""search-md""]:focus.valid + label::after, input[type=""search""].valid + label::after, input[type=""search""]:focus.valid + label::after, input[type=""tel""].valid + label::after, input[type=""tel""]:focus.valid + label::after, input[type=""text""].valid + label::after, input[type=""text""]:focus.valid + label::after, input[type=""time""].valid + label::after, input[type=""time""]:focus.valid + label::after, input[type=""url""].valid + label::after, input[type=""url""]:focus.valid + label::after, textarea.md-textarea.valid + label::after, textarea.md-textarea:focus.valid + label::after",#00C851,#3BA073,mdb.min.css,1425
"input[type=""date""].invalid + label::after, input[type=""date""]:focus.invalid + label::after, input[type=""datetime-local""].invalid + label::after, input[type=""datetime-local""]:focus.invalid + label::after, input[type=""email""].invalid + label::after, input[type=""email""]:focus.invalid + label::after, input[type=""number""].invalid + label::after, input[type=""number""]:focus.invalid + label::after, input[type=""password""].invalid + label::after, input[type=""password""]:focus.invalid + label::after, input[type=""search-md""].invalid + label::after, input[type=""search-md""]:focus.invalid + label::after, input[type=""search""].invalid + label::after, input[type=""search""]:focus.invalid + label::after, input[type=""tel""].invalid + label::after, input[type=""tel""]:focus.invalid + label::after, input[type=""text""].invalid + label::after, input[type=""text""]:focus.invalid + label::after, input[type=""time""].invalid + label::after, input[type=""time""]:focus.invalid + label::after, input[type=""url""].invalid + label::after, input[type=""url""]:focus.invalid + label::after, textarea.md-textarea.invalid + label::after, textarea.md-textarea:focus.invalid + label::after",#F44336,#B71C1C,mdb.min.css,1427
.md-form label,#757575,#202020,mdb.min.css,1436
.md-form .prefix.active,#4285F4,#2155c3,mdb.min.css,1441
.md-form.input-group::-webkit-input-placeholder,#999999,#1C1C1C,mdb.min.css,1449
.md-form.input-group::placeholder,#999999,#1C1C1C,mdb.min.css,1450
footer.page-footer,#FFFFFF,#1c1c1c,mdb.min.css,1461
footer.page-footer .footer-copyright,#FFFFFF99,#0F0F0FCC,mdb.min.css,1463
footer.page-footer a,#FFFFFF,#1c1c1c,mdb.min.css,1464
table.table a,#212529,#C5C5C5,mdb.min.css,1478
.navbar-nav > .nav-item > .nav-link,#E1E6E8,#1C2022,style.css,3
#queuesContainer .queue:hover,#0897DC,#0A5489,style.css,29
#header > div.title-text,#424242,#181818,style.css,37
#tblBody tbody tr.is-selected,#408ECB,#19346E,style.css,77
#tblBody > tbody > tr:hover,#408ECB,#19346E,style.css,79
.div-paging > a,#444444,#C5C5C5,style.css,103
.div-paging > a:hover,#3F51B5,#272f62,style.css,104
.tblUnit > thead > tr > th,#424242,#181818,style.css,132
.chat-title,#2196F3,#0D47A1,style.css,136
.chat-title > .chat-tab.active,#424242,#181818,style.css,138
.get-attachment:hover > div,#50B0F5,#2D62A8,style.css,153
.disabled-field,#8C8C8D,#2C2C2C,style.css,179
.form-control:focus,#495057,#bcbfc2,style.css,180
ul.pop-list > li > a,#424242,#181818,style.css,182
.tblGroup > thead > tr > th > a,#4285F4,#2155c3,style.css,198
.tr-customer:hover,#D4A017,#655200,style.css,201
.ui-widget-content,#333333,#d9d9d9,jquery-ui.css,165
.ui-widget-content a,#333333,#d9d9d9,jquery-ui.css,166
.ui-widget-header,#333333,#d9d9d9,jquery-ui.css,167
.ui-widget-header a,#333333,#d9d9d9,jquery-ui.css,168
".ui-state-default, .ui-widget-content .ui-state-default, .ui-widget-header .ui-state-default, .ui-button, html .ui-button.ui-state-disabled:hover, html .ui-button.ui-state-disabled:active",#454545,#1F1F1F,jquery-ui.css,169
".ui-state-default a, .ui-state-default a:link, .ui-state-default a:visited, a.ui-button, a:link.ui-button, a:visited.ui-button, .ui-button",#454545,#1F1F1F,jquery-ui.css,170
".ui-state-hover, .ui-widget-content .ui-state-hover, .ui-widget-header .ui-state-hover, .ui-state-focus, .ui-widget-content .ui-state-focus, .ui-widget-header .ui-state-focus, .ui-button:hover, .ui-button:focus",#2B2B2B,#0F0F0F,jquery-ui.css,171
".ui-state-hover a, .ui-state-hover a:hover, .ui-state-hover a:link, .ui-state-hover a:visited, .ui-state-focus a, .ui-state-focus a:hover, .ui-state-focus a:link, .ui-state-focus a:visited, a.ui-button:hover, a.ui-button:focus",#2B2B2B,#0F0F0F,jquery-ui.css,172
".ui-state-active, .ui-widget-content .ui-state-active, .ui-widget-header .ui-state-active, a.ui-button:active, .ui-button:active, .ui-button.ui-state-active:hover",#FFFFFF,#1c1c1c,jquery-ui.css,174
".ui-state-active a, .ui-state-active a:link, .ui-state-active a:visited",#FFFFFF,#1c1c1c,jquery-ui.css,176
".ui-state-highlight, .ui-widget-content .ui-state-highlight, .ui-widget-header .ui-state-highlight",#777620,#3C3C10,jquery-ui.css,177
".ui-state-highlight a, .ui-widget-content .ui-state-highlight a, .ui-widget-header .ui-state-highlight a",#777620,#3C3C10,jquery-ui.css,178
".ui-state-error, .ui-widget-content .ui-state-error, .ui-widget-header .ui-state-error",#5F3F3F,#2B1B1B,jquery-ui.css,179
".ui-state-error a, .ui-widget-content .ui-state-error a, .ui-widget-header .ui-state-error a",#5F3F3F,#2B1B1B,jquery-ui.css,180
".ui-state-error-text, .ui-widget-content .ui-state-error-text, .ui-widget-header .ui-state-error-text",#5F3F3F,#2B1B1B,jquery-ui.css,181
"[id*=""au-header_""] th::after",#777777,#212121,inline,11
